matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7763937156707860917,4,190,1083752171,0,41020,80,6,226539,10713,110,98,0,0,7763937844909261161,194397,60,0,86,2,96,2,9276160,2060025,0,8600,9600,1
7763935295913284845,4,190,2840152083,0,151932,110,7,231364,10030,110,109,0,0,7763937844909261161,201273,60,0,92,4,103,2,11939760,2060025,0,9200,10300,1
7763937448883078412,4,226,284573343,1,24102,39,4,253166,10126,110,113,0,0,7763937853247550705,222787,60,0,102,1,110,0,37536000,2060025,0,10200,11000,1
7763937354175707139,4,226,782299086,0,29747,29,3,152616,10248,110,111,7763928451213051429,0,7763937853247550705,121872,60,0,92,1,103,0,21339380,2060025,0,9200,10300,2
7763937354175707139,4,226,1261024149,0,29747,40,4,175790,10284,110,107,7763928451213051429,0,7763937853247550705,144936,60,0,97,1,102,0,18295920,2060025,0,9700,10200,1
7763937300337620921,4,226,1486411620,0,32956,44,4,200414,10641,110,110,0,0,7763937853247550705,168489,60,0,90,1,107,0,24410260,2060025,0,9000,10700,1
7763937643633016484,4,226,597890057,1,12494,53,4,158159,10528,110,110,0,0,7763937853247550705,126575,60,0,101,1,109,0,33106040,2060025,0,10100,10900,1
7763937697655645115,4,226,2377796378,1,9274,25,3,171914,10613,110,106,0,0,7763937853247550705,140075,60,0,89,1,102,0,5333120,2060025,0,8900,10200,1
7763937462690730256,4,57,2482706879,0,23781,64,5,195618,10473,110,110,0,0,7763937861669707179,164196,60,0,100,1,109,0,26783000,2060025,0,10000,10900,1
7763937271346590108,4,57,2028770939,0,35186,90,6,202543,10531,110,115,0,0,7763937861669707179,170950,60,0,97,1,107,0,51796880,2060025,0,9700,10700,1
7763937351977891977,4,176,903697218,1,30380,77,6,182708,9973,110,100,7763921280412824279,0,7763937861669707180,152788,60,0,88,1,96,2,9602800,2060025,0,8800,9600,1
7763937351977891977,4,176,3861583722,1,30380,70,5,193141,10076,110,98,7763921280412824279,0,7763937861669707180,162912,60,0,89,1,96,2,7463040,2060025,0,8900,9600,1
7763936910250563611,4,176,1719503293,1,56709,113,7,254850,9950,110,100,0,0,7763937861669707180,224998,60,0,83,2,98,2,21232240,2060025,0,8300,9800,6
7763937645327514089,4,176,2164989171,1,12895,101,7,232277,10327,110,111,0,0,7763937861669707181,201293,60,0,96,1,109,2,45616240,2060025,0,9600,10900,1
7763937678898718231,4,57,3698130002,1,10894,71,5,178896,10440,110,108,0,0,7763937861669707179,147575,60,0,82,1,108,0,15384840,2060025,0,8200,10800,4
7763937392712962769,4,57,2404575648,1,27952,61,5,195529,10540,110,108,0,0,7763937861669707179,163907,60,0,91,1,105,0,23101200,2060025,0,9100,10500,1
7763937658732505607,4,176,532340824,1,12096,89,6,238785,10537,110,109,7763937399458629293,0,7763937861669707181,207171,60,0,97,1,106,2,92688640,2060025,0,9700,10600,2
7763937658732505607,4,176,710373115,1,12096,94,6,201626,10518,110,112,7763937399458629293,0,7763937861669707181,170071,60,0,99,1,111,2,82424640,2060025,0,9900,11100,3
7763937708443396202,4,57,2028377856,0,9133,97,6,178372,10549,110,111,7763937641050568345,0,7763937861669707179,146724,60,0,106,1,111,0,168114240,2060025,0,10600,11100,10
7763937371338800773,4,57,892703338,1,29226,77,6,202159,10550,110,116,0,0,7763937861669707179,170507,60,0,97,1,107,0,37960600,2060025,0,9700,10700,1
7763937692958026689,4,176,326224004,0,10056,78,6,212545,10557,110,110,0,0,7763937861669707181,180874,60,0,94,1,107,2,11436800,2060025,0,9400,10700,1
7763937165314582360,4,176,3486256449,0,41506,80,6,207369,10556,110,97,0,0,7763937861669707180,175699,60,0,88,2,96,2,23204880,2060025,0,8800,9600,4
7763937023396114037,4,176,3591037305,0,49965,116,7,206836,10436,110,100,0,0,7763937861669707180,175527,60,0,80,2,94,2,13937380,2060025,0,8000,9400,1
7763936882115166983,4,176,764023816,0,58386,111,7,225168,10355,110,76,0,0,7763937861669707180,194100,60,0,79,2,90,2,306444800,2060025,0,7900,9000,70
7763937470777347971,4,176,2418189541,0,23299,80,6,242244,10621,110,113,0,0,7763937861669707181,210378,60,0,102,1,112,2,85581100,2060025,0,10200,11200,11
7763937412711402251,4,176,1772739209,0,26760,105,7,234127,10476,110,109,7763926694873416861,0,7763937861669707181,202699,60,0,84,1,101,2,74048380,2060025,0,8400,10100,5
7763937668731726708,4,0,3084733097,0,11500,2,1,222500,42755,107,85,0,0,7763937861669707182,94232,60,0,79,1,84,4,3022660,2060025,0,7900,8400,1
7763937497201464378,4,197,911683248,1,22230,50,4,225495,10326,110,106,0,0,7763937870158981127,194517,60,0,94,1,101,0,41094000,2060025,0,9400,10100,1
7763937530470686919,4,197,390985691,0,20247,73,5,214554,10515,110,96,0,0,7763937870158981127,183008,60,0,88,1,95,0,9271510,2060025,0,8800,9500,5
7763937630429337967,4,197,2218968191,1,14289,34,3,163227,10592,110,105,7763936959560024680,0,7763937870158981127,131448,60,0,98,1,103,0,21287940,2060025,0,9800,10300,1
7763937630429337967,4,197,3405318619,1,14289,38,4,176452,10638,110,102,7763936959560024680,0,7763937870158981127,144535,60,0,91,1,99,0,9997700,2060025,0,9100,9900,9
7763937507653671113,4,197,3660345102,0,21607,59,5,193097,9980,110,103,0,0,7763937870158981127,163156,60,0,87,1,96,0,19936200,2060025,0,8700,9600,16
7763937376875273295,4,197,710888652,0,29402,60,5,198021,10490,110,110,0,0,7763937870158981127,166549,60,0,88,1,99,0,9659810,2060025,0,8800,9900,4
7763937669939682104,4,200,477581346,0,12435,62,5,194757,10214,110,119,0,0,7763937878564360480,164114,60,0,101,1,111,0,76527200,2060025,0,10100,11100,1
7763937598821068951,4,200,1742397288,1,16674,34,3,144043,10476,110,107,7763849036026224945,0,7763937878564360480,112612,60,0,77,1,98,0,8487640,2060025,0,7700,9800,27
7763937598821068951,4,200,1835487552,1,16674,65,5,210877,10317,110,113,7763849036026224945,0,7763937878564360480,179926,60,0,90,1,108,0,10536340,2060025,0,9000,10800,1
7763937646015369272,4,200,1725837086,0,13861,63,5,192388,10576,110,116,0,0,7763937878564360480,160659,60,0,95,1,105,0,34856400,2060025,0,9500,10500,1
7763937422576406404,4,200,1911965398,0,27179,58,5,191515,10120,110,113,0,0,7763937878564360480,161154,60,0,96,1,110,0,57841640,2060025,0,9600,11000,29
7763937475189765759,4,200,543051129,1,24043,42,4,242051,10547,110,113,0,0,7763937878564360480,210409,60,0,91,1,108,0,15756480,2060025,0,9100,10800,1
7763937639388374777,4,181,81771811,1,15248,107,7,254034,10630,110,120,0,0,7763937895207369405,222142,60,0,85,1,120,2,405597440,2060025,0,8500,12000,4
7763937506982586597,4,181,1442878604,1,23140,107,7,251074,10550,110,118,0,0,7763937895207369405,219423,60,0,101,1,114,2,75496730,2060025,0,10100,11400,1
7763937486732490408,4,181,1378137218,0,24347,90,6,224176,10666,110,119,7763937461685326801,0,7763937895207369405,192176,60,0,107,1,115,2,91215840,2060025,0,10700,11500,7
7763937211904904096,4,181,1755736258,0,40728,102,7,223545,10641,110,125,7763936608144467318,0,7763937895207369405,191621,60,0,104,1,120,2,199797760,2060025,0,10400,12000,14
7763937211904904096,4,181,1392703866,0,40728,104,7,226278,10520,110,131,7763936608144467318,0,7763937895207369405,194717,60,0,113,1,124,2,105244800,2060025,0,11300,12400,1
7763936793397257095,4,244,2593017097,0,65673,45,4,187283,10585,110,112,7763907861274062970,0,7763937895207369401,155525,60,0,86,1,107,1,15538870,2060025,0,8600,10700,1
7763936793397257095,4,244,2994535550,0,65673,62,5,223712,10490,110,127,7763907861274062970,0,7763937895207369401,192241,60,0,102,1,115,1,76848940,2060025,0,10200,11500,9
7763936939963013947,4,244,2043668957,0,56937,58,5,225251,10436,110,109,0,0,7763937895207369401,193942,60,0,101,1,119,1,205449800,2060025,0,10100,11900,8
7763937760754754382,4,181,2373126887,1,8014,103,7,212666,10609,110,123,0,0,7763937895207369405,180837,60,0,98,1,113,2,43957760,2060025,0,9800,11300,7
7763937606672801942,4,192,1017046169,1,18196,113,7,269676,10240,110,130,7763904048551042672,0,7763937911951024768,238956,60,0,106,1,120,2,343347200,2060025,0,10600,12000,2
7763937606672801942,4,192,3098226141,1,18196,240,9,265381,10372,110,134,7763904048551042672,0,7763937911951024768,234263,60,0,113,1,122,2,394141530,2060025,0,11300,12200,1
7763936678573986271,4,192,815991394,0,73515,222,9,272253,10732,110,135,0,0,7763937911951024768,240056,60,0,106,2,116,2,584762550,2060025,0,10600,11600,47
7763937401168687257,4,192,1139193816,1,30445,124,8,225839,10536,110,128,0,0,7763937911951024768,194230,60,0,106,1,124,2,108669180,2060025,0,10600,12400,1
7763937405094548638,4,192,1051438983,0,30211,136,9,252305,10396,110,114,0,0,7763937911951024768,221115,60,0,102,1,114,2,108254720,2060025,0,10200,11400,20
7763936615994977961,4,192,553794869,0,77245,200,9,275499,10552,110,135,0,0,7763937911951024768,243841,60,0,115,2,128,2,694073600,2060025,0,11500,12800,7
7763937793604540060,4,92,827798224,1,8563,72,5,177188,10582,110,105,0,0,7763937937267842246,145440,60,0,94,1,103,0,25289600,2060025,0,9400,10300,3
7763937760586978382,4,92,1770742960,1,10531,87,6,220668,10582,110,98,0,0,7763937937267842246,188919,60,0,96,1,97,0,22261360,2060025,0,9600,9700,3
7763937678714159840,4,92,1270894470,1,15411,72,5,225847,10479,110,111,0,0,7763937937267842246,194409,60,0,84,1,102,0,26436840,2060025,0,8400,10200,1
7763937611051656119,4,92,872330019,0,19444,64,5,252398,10526,110,96,0,0,7763937937267842246,220818,60,0,72,1,96,0,5191000,2060025,0,7200,9600,1
7763937465928742659,4,92,1492985393,0,28094,59,5,209762,10564,110,109,0,0,7763937937267842246,178067,60,0,91,1,101,0,20696320,2060025,0,9100,10100,8
7763937509012623011,4,92,2913186500,0,25526,80,6,171456,10778,110,99,0,0,7763937937267842246,139122,60,0,92,1,97,0,23523940,2060025,0,9200,9700,1
7763936897634091241,4,107,2535532531,0,62959,44,4,214029,10212,110,91,0,0,7763937953910845602,183391,60,0,85,1,87,1,1945620,2060025,0,8500,8700,1
7763937602763716132,4,107,2769671061,0,20930,95,6,215517,10546,110,102,0,0,7763937953910845602,183877,60,0,100,1,113,1,28279880,2060025,0,10000,11300,5
7763937542583833170,4,107,674088491,0,24517,41,4,184015,10546,110,109,0,0,7763937953910845602,152377,60,0,95,1,107,1,28628900,2060025,0,9500,10700,1
7763937423767594147,4,100,1715961131,1,33600,53,4,180788,10230,110,129,0,0,7763937987482049998,150098,60,0,113,1,125,0,217442360,2060025,0,11300,12500,64
7763937483192497778,4,100,527761586,0,30058,63,5,210538,10531,110,129,0,0,7763937987482049998,178944,60,0,118,1,127,0,607635220,2060025,0,11800,12700,1
7763937429220181137,4,100,1098891980,0,33275,69,5,253239,10566,110,127,0,0,7763937987482049998,221539,60,0,112,1,125,0,339829760,2060025,0,11200,12500,1
7763937406973599849,4,100,849343192,1,34601,43,4,251257,9728,110,122,0,0,7763937987482049998,222071,60,0,111,1,122,0,167906400,2060025,0,11100,12200,1
