matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7764535888369291168,3,26,1095372626,1,8332,92,9,305601,8092,110,90,0,0,7764536028157063330,281324,60,0,94,1,105,2,19984800,2050025,0,9272,10500,1
7764535580859705528,3,26,2464303454,0,26661,94,9,283747,8147,110,91,0,0,7764536028157063330,259303,60,0,91,1,94,2,14288320,2050025,0,9100,9400,1
7764535519387980417,3,45,280124937,0,30325,105,9,315154,8062,110,102,0,0,7764536028157063329,290967,60,0,102,1,121,2,198963200,2050025,0,10200,12100,1
7764535926554232414,3,80,1810735192,1,6555,12,2,158714,8423,110,77,0,0,7764536036528882230,133442,60,0,77,1,85,0,2794920,2050025,0,7700,8500,1
7764535842970145234,3,80,531822272,0,11537,27,3,260515,8417,110,78,0,0,7764536036528882230,235263,60,0,79,1,84,0,7547740,2050025,0,7900,8400,3
7764535204378974724,3,200,448265758,0,49600,8,1,125538,8746,110,73,0,0,7764536036528882231,99298,60,0,73,2,79,0,1518600,2050025,0,7300,7900,1
7764535932896021382,3,200,2103831529,1,6177,9,1,285946,38729,64,78,0,0,7764536036528882231,169756,60,0,78,1,82,0,2289680,2050025,0,7800,8200,1
7764535805791845578,3,26,1075433461,1,14759,46,5,255079,9525,106,79,0,0,7764536053406766543,226502,60,0,79,1,82,0,2189700,2050025,0,7900,8200,1
7764535799131288825,3,26,410654778,0,15156,54,5,238088,8342,110,78,0,0,7764536053406766543,213060,60,0,78,1,84,0,4658900,2050025,0,7800,8400,1
7764535873504682784,3,0,89301461,0,10723,24,3,207284,8294,110,103,0,0,7764536053406766544,182399,60,0,103,1,117,1,65101200,2050025,0,10300,11700,1
7764535846426258970,3,50,215194568,0,12835,61,6,258305,8206,110,103,0,0,7764536061761825497,233686,60,0,103,1,110,0,48806340,2050025,0,10300,11000,1
7764535948263960201,3,40,850428293,1,6765,55,5,275792,8276,110,89,0,0,7764536061761825498,250961,60,0,89,1,94,0,38430160,2050025,0,8900,9400,1
7764535867179664720,3,40,2792975004,0,11598,49,5,289954,12921,110,93,0,0,7764536061761825498,251191,60,0,93,1,102,0,16966880,2050025,0,9300,10200,1
7764535868538619154,3,50,953247860,1,11517,76,6,256559,8017,110,97,0,0,7764536061761825497,232506,60,0,98,1,105,0,30621990,2050025,0,9800,10500,7
7764535923484014127,3,57,2453427638,1,9237,20,2,175381,8514,110,93,0,0,7764536078455148310,149839,60,0,93,1,100,0,16789680,2050025,0,9300,10000,4
7764535888201529695,3,57,2834517885,0,11340,27,3,189831,8302,110,89,0,0,7764536078455148310,164924,60,0,89,1,97,0,17423000,2050025,0,8900,9700,1
7764535954102431205,3,36,1583774151,1,7910,45,4,221261,8122,110,92,0,0,7764536086810212170,196894,60,0,92,1,97,0,6454720,2050025,0,9200,9700,1
7764535576094977139,3,36,3194385426,0,30441,31,3,220097,13549,110,95,0,0,7764536086810212170,179448,60,0,95,1,102,0,36962560,2050025,0,9252,10200,1
7764535910682984617,3,100,2410282593,0,11504,44,4,236477,8006,110,92,0,0,7764536103688078506,212456,60,0,92,1,97,0,24912000,2050025,0,9200,9700,1
7764535913602221188,3,100,3453933394,1,11330,23,3,176855,8447,110,86,0,0,7764536103688078506,151512,60,0,86,1,89,0,5121820,2050025,0,8600,8900,1
7766200166251891704,3,26,1437044515,0,10142,44,4,198552,8285,110,79,0,0,7766200336406414814,173696,60,0,79,1,91,0,4739500,2050025,0,7900,9100,1
7766200210241760854,3,26,2742304207,1,7520,22,3,195320,11579,106,79,0,0,7766200336406414814,160582,60,0,79,1,88,0,2687300,2050025,0,7900,8800,1
7766200158249157333,3,91,52176387,1,11118,179,9,413919,8458,110,119,0,0,7766200344778250193,388542,60,0,121,1,135,2,1618735400,2050025,0,12100,13500,12
7766200012622935279,3,91,569763729,0,19798,100,9,301736,8096,110,109,0,0,7766200344778250193,277446,60,0,109,1,120,2,185085700,2050025,0,10900,12000,1
7766200259952645170,3,59,2014368150,1,6057,44,4,219689,8536,110,95,0,0,7766200361572247929,194081,60,0,95,1,98,0,10105600,2050025,0,9500,9800,1
7766200170865631466,3,59,2683841426,0,11367,31,3,200199,8266,110,99,0,0,7766200361572247929,175399,60,0,99,1,104,0,16577920,2050025,0,9900,10400,6
7766200009384919181,3,0,3049515989,0,21490,22,3,201002,8397,110,95,0,0,7766200369927304184,175810,60,0,95,1,102,1,11731200,2050025,0,9500,10200,1
7766200153786421690,3,70,3976294120,0,13381,23,3,274385,22307,102,81,0,0,7766200378282344500,207463,60,0,81,1,88,0,4744960,2050025,0,8100,8800,1
7766200257570289781,3,70,2926891135,1,7195,28,3,234041,8242,110,86,0,0,7766200378282344500,209315,60,0,86,1,90,0,8160920,2050025,0,8600,9000,1
7766200230340861296,3,71,2716646593,1,9320,25,3,243359,8218,110,101,0,0,7766200386704507800,218703,60,0,101,1,105,0,37408920,2050025,0,10100,10500,1
7766200202943667136,3,71,1397567944,0,10953,23,3,199926,8218,110,96,0,0,7766200386704507800,175271,60,0,96,1,107,0,18521880,2050025,0,9600,10700,1
7766200195242925279,3,92,3326295514,1,11412,37,4,213137,8156,110,91,0,0,7766200386704507801,188667,60,0,91,1,96,0,9513160,2050025,0,9100,9600,1
7766200140163328396,3,92,1849500281,0,14695,47,5,258020,8317,110,95,0,0,7766200386704507801,233066,60,0,97,1,108,0,69251380,2050025,0,9700,10800,1
7766199939625267255,3,0,2394358188,0,27146,16,2,195576,8216,110,87,0,0,7766200395059564129,170926,60,0,87,1,91,1,5218480,2050025,0,8700,9100,1
7766200127060316378,3,0,291258630,0,15974,46,5,216564,8331,110,100,0,0,7766200395059564131,191570,60,0,100,1,108,1,43480960,2050025,0,10000,10800,1
7766199905735285571,3,0,3879855027,0,29672,1,1,318410,54943,25,70,0,0,7766200403548839681,153579,60,0,70,1,75,1,781500,2050025,0,7000,7500,1
7766200276310426860,3,63,3356027153,0,8082,36,4,260584,9190,110,101,0,0,7766200411903897805,233012,60,0,101,1,110,0,76021450,2050025,0,10100,11000,1
7766200299127451338,3,63,867551198,1,6722,43,4,250689,8089,110,95,0,0,7766200411903897805,226420,60,0,95,1,108,0,75390080,2050025,0,9500,10800,1
7766200233746629735,3,111,1169337884,1,11117,32,3,205758,8430,110,105,0,0,7766200420258940084,180466,60,0,105,1,108,0,49222800,2050025,0,10500,10800,1
7766200189404457164,3,111,791915029,0,13760,45,4,288804,8125,110,111,0,0,7766200420258940084,264426,60,0,111,1,123,0,203197740,2050025,0,11100,12300,1
7766200318354136854,3,35,1223885312,1,6573,58,5,277316,8291,110,95,0,0,7766200428630785251,252442,60,0,95,1,100,0,10649870,2050025,0,9500,10000,1
7766200257905825796,3,35,3109150141,0,10176,47,5,266253,8158,110,98,0,0,7766200428630785251,241777,60,0,98,1,106,0,18755840,2050025,0,9800,10600,1
7766200148166059454,3,50,1526787170,0,17720,87,7,272896,8115,110,98,0,0,7766200445458321659,248549,60,0,98,1,107,0,69942400,2050025,0,9800,10700,1
7766200311743906191,3,50,2030571178,1,7970,62,6,272396,8244,110,102,0,0,7766200445458321659,247661,60,0,102,1,107,0,55895210,2050025,0,10200,10700,1
7766200266428653422,3,43,850905274,1,11169,30,3,239400,8681,110,83,0,0,7766200453813372000,213356,60,0,83,1,87,0,6645500,2050025,0,8300,8700,1
7766200255523462971,3,43,2043315936,0,11819,41,4,229706,8066,110,86,0,0,7766200453813372000,205507,60,0,86,1,91,0,8211380,2050025,0,8600,9100,1
7766200261512928110,3,36,1787708273,1,11462,97,8,301023,8311,110,111,0,0,7766200453813372001,276088,60,0,111,1,122,2,117952400,2050025,0,11100,12200,2
7766200047368544907,3,36,904061648,0,24226,99,9,324343,8154,110,108,0,0,7766200453813372001,299879,60,0,108,1,118,2,266482200,2050025,0,10800,11800,1
7766200289933535843,3,31,3641717913,1,11270,50,5,237728,8112,110,84,0,0,7766200479012752346,213390,60,0,84,1,88,0,5026240,2050025,0,8400,8800,1
7766200265237467016,3,31,2591813860,0,12742,63,6,240142,8192,110,86,0,0,7766200479012752346,215566,60,0,86,1,92,0,47096800,2050025,0,8600,9200,1
7766200351925339712,3,56,2634399322,1,9575,30,3,213329,8902,110,76,0,0,7766200512567185276,186623,60,0,76,1,83,0,1680550,2050025,0,7600,8300,1
7766200336590969537,3,56,413697154,0,10489,28,3,288767,16647,100,77,0,0,7766200512567185276,238825,60,0,77,1,84,0,1882200,2050025,0,7588,8400,1
7766200096425120094,3,26,2307659811,0,25798,86,7,254889,8031,110,94,0,0,7766200529243738150,230794,60,0,94,1,97,0,24937600,2050025,0,9400,9700,1
7766200339493428631,3,26,910692714,1,11310,63,6,242116,8130,110,93,0,0,7766200529243738150,217725,60,0,93,1,102,0,27732480,2050025,0,9300,10200,1
7766200356539077477,3,31,1418543734,1,11299,69,6,299658,8220,110,108,0,0,7766200546104836674,274996,60,0,108,1,118,0,79168640,2050025,0,10800,11800,1
7766200334024064615,3,31,1301748643,0,12641,49,5,276817,8016,110,107,0,0,7766200546104836674,252766,60,0,107,1,122,0,138166400,2050025,0,10700,12200,11
7766200425057232367,3,22,332356257,1,7713,64,6,286493,8384,110,98,0,0,7766200554459894975,261341,60,0,98,1,109,0,17413440,2050025,0,9800,10900,1
7766200128251498098,3,0,1547043968,0,25404,27,3,214235,8254,110,96,0,0,7766200554459894976,189473,60,0,96,1,105,1,34881600,2050025,0,9600,10500,1
7766200277149297306,3,22,496655719,0,16529,62,6,239936,8048,110,98,0,0,7766200554459894975,215789,60,0,98,1,105,0,26220400,2050025,0,9800,10500,1
7766200291644811924,3,0,505521354,0,17166,10,2,208632,8126,110,97,0,0,7766200579642504864,184253,60,0,97,1,105,1,21106400,2050025,0,9700,10500,1
7766200125013501059,3,0,2464964612,0,27596,39,4,193672,8164,110,90,0,0,7766200587997556439,169179,30,0,90,1,100,1,8980800,2050025,0,9000,10000,1
7766200418899995013,3,50,2912610481,1,11085,83,7,238392,8643,110,106,0,0,7766200604875424790,212461,60,0,106,1,114,0,89900800,2050025,0,10600,11400,13
7766200165396255708,3,50,577653953,0,26195,68,6,257693,8373,110,103,0,0,7766200604875424790,232573,60,0,103,1,108,0,111072000,2050025,0,10300,10800,5
7766200487183265186,3,0,3118858155,0,7513,26,3,219311,8616,110,113,0,0,7766200613230481383,193463,60,0,113,1,126,1,163916800,2050025,0,11300,12600,1
7766200431533232868,3,52,1875463534,1,11327,63,6,250623,8085,110,91,0,0,7766200621568767357,226365,60,0,91,1,99,0,5880320,2050025,0,9100,9900,1
7766200278709577427,3,52,1781416229,0,20436,51,5,225851,8278,110,94,0,0,7766200621568767357,201014,60,0,94,1,100,0,18914580,2050025,0,9400,10000,1
7766199393912756052,3,82,753381929,0,14677,48,5,228980,8082,110,99,0,0,7766199640151960433,204733,60,0,99,1,104,0,41201600,2050025,0,9900,10400,1
7766199529791431840,3,82,1912600052,1,6578,38,4,254239,8199,110,93,0,0,7766199640151960433,229640,60,0,93,1,102,0,15516560,2050025,0,9300,10200,1
